curso,est,mun,qtd
ADMINISTRA?O,MA,Timon,10
NUTRI?O,MA,Imperatriz,10
EDUCA?O F?ICA,PB,Campina Grande,10
CI?CIAS CONT?BEIS,PE,Caruaru,10
ARQUITETURA E URBANISMO,PE,Jaboat? dos Guararapes,10
SISTEMAS DE INFORMA?O,MA,Balsas,10
CI?CIA DA COMPUTA?O,CE,Fortaleza,10
PEDAGOGIA,AL,Macei?,10
ADMINISTRA?O,PI,Picos,10
SERVI? SOCIAL,CE,Sobral,10
CI?CIA DA COMPUTA?O,PE,Petrolina,10
FARM?CIA,PE,Nazar?da Mata,9
SISTEMAS DE INFORMA?O,PB,Jo? Pessoa,9
ENGENHARIA DE PRODU?O,BA,Teixeira de Freitas,9
ADMINISTRA?O,MA,Bacabal,9
ENGENHARIA MEC?ICA,PB,Jo? Pessoa,9
ENFERMAGEM,AL,P? de A?car,9
ENGENHARIA CIVIL,MA,A?il?dia,9
EDUCA?O F?ICA,PE,Olinda,9
JORNALISMO,BA,Lauro de Freitas,9
ADMINISTRA?O,BA,Coronel Jo? S?,9
ENFERMAGEM,PE,Nazar?da Mata,9
BIOMEDICINA,PB,Jo? Pessoa,9
EST?ICA E COSM?ICA,SE,Aracaju,9
HIST?IA,PE,Caruaru,9
EDUCA?O F?ICA,BA,Cruz das Almas,9
ENGENHARIA CIVIL,PI,Parna?a,9
PEDAGOGIA,PE,Caruaru,9
EST?ICA E COSM?ICA,BA,Vit?ia da Conquista,9
SERVI? SOCIAL,SE,Aracaju,9
ENGENHARIA QU?ICA,PE,Recife,9
SERVI? SOCIAL,AL,Macei?,9
FARM?CIA,MA,Caxias,8
ENGENHARIA DE PRODU?O,PE,Jaboat? dos Guararapes,8
CI?CIAS CONT?BEIS,CE,Aracati,8
GEST? DA TECNOLOGIA DA INFORMA?O,BA,Guanambi,8
SERVI? SOCIAL,CE,Quixad?,8
ADMINISTRA?O,BA,Itaberaba,8
ENGENHARIA MEC?ICA,PB,Campina Grande,8
EDUCA?O F?ICA,BA,Guanambi,8
PEDAGOGIA,PE,Vit?ia de Santo Ant?,8
ENGENHARIA CIVIL,PE,Jaboat? dos Guararapes,8
EDUCA?O F?ICA,CE,Quixad?,8
PSICOLOGIA,MA,Imperatriz,8
ADMINISTRA?O DE EMPRESAS,PE,Petrolina,8
DIREITO,PE,Salgueiro,8
SERVI? SOCIAL,RN,A?,8
SERVI? SOCIAL,MA,Chapadinha,8
CI?CIAS BIOL?ICAS,SE,Tobias Barreto,8
PILOTAGEM PROFISSIONAL DE AERONAVES,BA,Salvador,8
ENGENHARIA AMBIENTAL,PE,Caruaru,8
SISTEMAS DE INFORMA?O,PI,Teresina,8
SERVI? SOCIAL,PE,Petrolina,8
PEDAGOGIA,MA,S? Lu?,8
PEDAGOGIA,CE,Aracati,8
AN?LISE E DESENVOLVIMENTO DE SISTEMAS,CE,Juazeiro do Norte,8
CINEMA E AUDIOVISUAL,PE,Olinda,8
SERVI? SOCIAL,CE,Juazeiro do Norte,8
RELA?ES INTERNACIONAIS,PE,Caruaru,7
FARM?CIA,MA,Imperatriz,7
EST?ICA E COSM?ICA,BA,Salvador,7
COMUNICA?O SOCIAL - PUBLICIDADE E PROPAGANDA,PB,Campina Grande,7
JORNALISMO,SE,Aracaju,7
ZOOTECNIA,MA,Timon,7
ENGENHARIA DE COMPUTA?O,AL,Macei?,7
ENGENHARIA DE SOFTWARE,BA,Salvador,7
ENGENHARIA DE PRODU?O,PE,Recife,7
RADIOLOGIA,PB,Patos,7
HIST?IA,PI,Parna?a,7
CI?CIAS CONT?BEIS,BA,Teixeira de Freitas,7
MEDICINA,CE,Fortaleza,7
ENGENHARIA QU?ICA,CE,Fortaleza,7
CI?CIAS BIOL?ICAS,SE,Aracaju,7
ENGENHARIA DE PETR?EO E G?S,BA,Salvador,7
LETRAS,MA,Chapadinha,7
COMUNICA?O SOCIAL - PUBLICIDADE E PROPAGANDA,RN,Natal,7
CI?CIAS CONT?BEIS,BA,Cruz das Almas,7
SERVI? SOCIAL,BA,Santo Ant?io de Jesus,7
MEDICINA,BA,Barreiras,7
ENGENHARIA CIVIL,MA,S? Lu?,7
ENGENHARIA MEC?ICA,SE,Aracaju,7
AN?LISE E DESENVOLVIMENTO DE SISTEMAS,MA,Caxias,7
NUTRI?O,BA,Riach? do Jacu?e,7
GEST? DA TECNOLOGIA DA INFORMA?O,PE,Jaboat? dos Guararapes,7
LETRAS - PORTUGU? E INGL?,CE,Fortaleza,7
SISTEMAS DE INFORMA?O,BA,Lauro de Freitas,7
CI?CIAS CONT?BEIS,PE,Petrolina,7
CI?CIAS CONT?BEIS,PE,Vit?ia de Santo Ant?,7
COMUNICA?O SOCIAL - PUBLICIDADE E PROPAGANDA,PE,Recife,7
SERVI? SOCIAL,BA,Capim Grosso,6
LETRAS - PORTUGU? E INGL?,BA,Salvador,6
ENGENHARIA MECATR?ICA,PE,Recife,6
SISTEMAS DE INFORMA?O,PE,Recife,6
PUBLICIDADE E PROPAGANDA,BA,Salvador,6
PUBLICIDADE E PROPAGANDA,BA,Feira de Santana,6
ARQUITETURA E URBANISMO,PE,Caruaru,6
CI?CIAS CONT?BEIS,BA,Barreiras,6
LETRAS - INGL?,PE,Recife,6
ADMINISTRA?O,BA,Valen?,6
DESIGN DE INTERIORES,BA,Feira de Santana,6
PSICOLOGIA,BA,Concei?o do Coit?,6
EDUCA?O F?ICA,PE,Vit?ia de Santo Ant?,6
BIOMEDICINA,RN,Natal,6
CI?CIAS CONT?BEIS,BA,Alagoinhas,6
ENGENHARIA DE COMPUTA?O,RN,Natal,6
SISTEMAS DE INFORMA?O,RN,Natal,6
COMUNICA?O SOCIAL,PB,Campina Grande,6
PEDAGOGIA,PB,Jo? Pessoa,6
ADMINISTRA?O,BA,Vit?ia da Conquista,6
ADMINISTRA?O,BA,Ribeira do Pombal,6
ENGENHARIA EL?RICA,BA,Alagoinhas,6
GEST? DE RECURSOS HUMANOS,CE,Fortaleza,6
ENFERMAGEM,AL,Penedo,6
SISTEMAS DE INFORMA?O,RN,Mossor?,6
ENGENHARIA EL?RICA,RN,Natal,6
ENGENHARIA DE PRODU?O,BA,Santo Ant?io de Jesus,6
ADMINISTRA?O,BA,Eun?olis,6
FONOAUDIOLOGIA,PB,Campina Grande,6
CI?CIA DA COMPUTA?O,PI,Picos,6
EDUCA?O F?ICA,BA,Valen?,6
LETRAS,SE,Tobias Barreto,6
ENGENHARIA DE PRODU?O,MA,A?il?dia,6
SERVI? SOCIAL,CE,Aracati,6
RADIOLOGIA,BA,Cruz das Almas,6
QU?ICA,SE,Aracaju,6
HIST?IA,PI,Teresina,6
HIST?IA,SE,Aracaju,5
SISTEMA DE INFORMA?O,BA,Salvador,5
BIOMEDICINA,BA,Alagoinhas,5
JORNALISMO,MA,Caxias,5
BIOMEDICINA,CE,Quixad?,5
ADMINISTRA?O,SE,Tobias Barreto,5
DIREITO,PE,Afogados da Ingazeira,5
JORNALISMO,BA,Guanambi,5
ENGENHARIA DE PRODU?O,BA,Concei?o do Coit?,5
FONOAUDIOLOGIA,RN,Natal,5
ADMINISTRA?O,MA,Balsas,5
ENGENHARIA AMBIENTAL E SANIT?RIA,AL,Macei?,5
MATEM?TICA,BA,Salvador,5
NUTRI?O,PE,Jaboat? dos Guararapes,5
ODONTOLOGIA,MA,Caxias,5
SERVI? SOCIAL,MA,Timon,5
RADIOLOGIA,SE,Aracaju,5
PEDAGOGIA,PI,Parna?a,5
ADMINISTRA?O,PE,Olinda,5
COMUNICA?O SOCIAL - JORNALISMO,SE,Aracaju,5
CI?CIAS CONT?BEIS,BA,Eun?olis,5
REDES DE COMPUTADORES,CE,Fortaleza,5
PSICOLOGIA,BA,Vit?ia da Conquista,5
PSICOLOGIA,BA,Riach? do Jacu?e,5
CI?CIAS BIOL?ICAS,RN,Natal,5
ENGENHARIA DE PRODU?O,BA,Lu? Eduardo Magalh?s,5
EDUCA?O F?ICA,MA,Imperatriz,5
EDUCA?O F?ICA,BA,Alagoinhas,5
EDUCA?O F?ICA,MA,Pa? do Lumiar,5
ENGENHARIA MEC?ICA,RN,Natal,5
ADMINISTRA?O,PE,Caruaru,5
REDES DE COMPUTADORES,BA,Lauro de Freitas,5
FILOSOFIA,PB,Cajazeiras,5
MEDICINA VETERIN?RIA,MA,A?il?dia,5
LOG?TICA,MA,Pa? do Lumiar,5
ADMINISTRA?O,BA,Itamaraju,5
LETRAS - L?GUA PORTUGUESA,BA,Salvador,5
PEDAGOGIA,MA,Timon,5
COMUNICA?O SOCIAL - PUBLICIDADE E PROPAGANDA,BA,Lauro de Freitas,5
ENGENHARIA DE PETR?EO,BA,Salvador,5
ADMINISTRA?O,RN,A?,5
SERVI? SOCIAL,RN,Natal,5
FARM?CIA,PE,Escada,4
ENGENHARIA AMBIENTAL E SANIT?RIA,BA,Feira de Santana,4
LETRAS - PORTUGU? E INGL?,MA,S? Lu?,4
ENGENHARIA DE PRODU?O,PB,Campina Grande,4
DESIGN,BA,Salvador,4
DIREITO,CE,Tiangu?,4
ADMINISTRA?O,BA,Teixeira de Freitas,4
ODONTOLOGIA,PB,Campina Grande,4
SISTEMAS DE INFORMA?O,PB,Campina Grande,4
GASTRONOMIA,BA,Ilh?s,4
PSICOLOGIA,BA,Capim Grosso,4
PEDAGOGIA,MA,Balsas,4
DIREITO,CE,Crate?s,4
GASTRONOMIA,SE,Aracaju,4
CI?CIAS CONT?BEIS,BA,Riach? do Jacu?e,4
PEDAGOGIA,MA,Imperatriz,4
ENGENHARIA DE PRODU?O,MA,S? Lu?,4
ADMINISTRA?O,CE,Maracana?,4
FARM?CIA,PI,Parna?a,4
ENGENHARIA DE CONTROLE E AUTOMA?O,PB,Jo? Pessoa,4
RELA?ES INTERNACIONAIS,PB,Campina Grande,4
BIOMEDICINA,PE,Vit?ia de Santo Ant?,4
SERVI? SOCIAL,PI,Parna?a,4
ADMINISTRA?O,BA,Capim Grosso,4
BIOMEDICINA,BA,Vit?ia da Conquista,4
ENGENHARIA DE PRODU?O,PE,Caruaru,4
LETRAS - PORTUGU? E INGL?,PE,Recife,4
ADMINISTRA?O,RN,Pau dos Ferros,4
SERVI? SOCIAL,BA,Ilh?s,4
ENGENHARIA EL?RICA,BA,Ilh?s,4
EDUCA?O F?ICA,AL,Macei?,4
EDUCA?O F?ICA,MA,Timon,4
PEDAGOGIA,PE,Olinda,4
ENGENHARIA AGR?OLA E AMBIENTAL,CE,Fortaleza,4
SISTEMAS DE INFORMA?O,MA,S? Lu?,4
ENGENHARIA DE CONTROLE E AUTOMA?O,CE,Fortaleza,4
GEST? DA TECNOLOGIA DA INFORMA?O,SE,Aracaju,4
ODONTOLOGIA,MA,Imperatriz,4
ENGENHARIA DE PETR?EO E G?S,RN,Natal,4
CONSTRU?O DE EDIF?IOS,PB,Cajazeiras,4
TERAPIA OCUPACIONAL,PB,Campina Grande,4
ARQUITETURA E URBANISMO,MA,S? Lu?,4
PUBLICIDADE E PROPAGANDA,MA,S? Lu?,4
COMUNICA?O SOCIAL - JORNALISMO,PE,Recife,4
SERVI? SOCIAL,PB,Campina Grande,4
LETRAS - INGL?,PE,Olinda,4
MEDICINA VETERIN?RIA,PB,Jo? Pessoa,4
ADMINISTRA?O,PE,S? Louren? da Mata,4
AN?LISE E DESENVOLVIMENTO DE SISTEMAS,CE,Fortaleza,4
FISIOTERAPIA,CE,Quixeramobim,3
GEST? DE RECURSOS HUMANOS,CE,Aracati,3
ARTES VISUAIS,PB,Campina Grande,3
CI?CIAS BIOL?ICAS,PB,Campina Grande,3
ENGENHARIA QU?ICA,RN,Natal,3
ARQUITETURA E URBANISMO,BA,Teixeira de Freitas,3
GEST? DE RECURSOS HUMANOS,BA,Salvador,3
PEDAGOGIA,SE,Canind?de S? Francisco,3
FONOAUDIOLOGIA,PE,Recife,3
ENGENHARIA AGRON?ICA,SE,Aracaju,3
ENGENHARIA DE PRODU?O,RN,Natal,3
GEST? DE RECURSOS HUMANOS,MA,S? Lu?,3
CI?CIAS CONT?BEIS,MA,Caxias,3
RELA?ES INTERNACIONAIS,BA,Salvador,3
PEDAGOGIA,BA,Valen?,3
PEDAGOGIA,BA,Itaberaba,3
PUBLICIDADE E PROPAGANDA,CE,Fortaleza,3
PEDAGOGIA,PB,Campina Grande,3
CI?CIAS CONT?BEIS,PE,Olinda,3
RADIOLOGIA,PI,Parna?a,3
SERVI? SOCIAL,PB,Jo? Pessoa,3
GASTRONOMIA,BA,Salvador,3
ADMINISTRA?O,RN,Mossor?,3
DIREITO,RN,Mossor?,3
JORNALISMO,CE,Fortaleza,3
SERVI? SOCIAL,BA,Feira de Santana,3
LETRAS - PORTUGU? E ESPANHOL,SE,Aracaju,3
ENGENHARIA DE COMPUTA?O,CE,Fortaleza,3
SERVI? SOCIAL,MA,S? Lu?,3
EST?ICA E COSM?ICA,RN,Natal,3
ENGENHARIA DE COMPUTA?O,BA,Lauro de Freitas,3
PEDAGOGIA,BA,Vit?ia da Conquista,3
AN?LISE E DESENVOLVIMENTO DE SISTEMAS,PE,Caruaru,3
ARQUITETURA E URBANISMO,BA,Guanambi,3
LETRAS - L?GUA PORTUGUESA,PB,Campina Grande,3
EST?ICA E COSM?ICA,PE,Recife,3
SERVI? SOCIAL,PE,Caruaru,3
ENGENHARIA DE COMPUTA?O,PE,Recife,3
ARQUITETURA E URBANISMO,PI,Parna?a,3
SISTEMAS PARA INTERNET,MA,Bacabal,3
SISTEMAS PARA INTERNET,PB,Jo? Pessoa,3
COMUNICA?O SOCIAL - PUBLICIDADE E PROPAGANDA,PE,Olinda,3
JORNALISMO,PB,Patos,3
DIREITO,AL,Arapiraca,3
SERVI? SOCIAL,CE,Maracana?,3
AN?LISE E DESENVOLVIMENTO DE SISTEMAS,BA,Santo Ant?io de Jesus,3
COMUNICA?O SOCIAL - PUBLICIDADE E PROPAGANDA,CE,Fortaleza,3
ENGENHARIA DE COMPUTA?O,BA,Vit?ia da Conquista,3
MEDICINA VETERIN?RIA,BA,Irec?,3
ADMINISTRA?O,MA,Imperatriz,3
ADMINISTRA?O,PE,Serra Talhada,3
ENGENHARIA CIVIL,PB,Patos,3
PEDAGOGIA,BA,Cruz das Almas,3
ENGENHARIA DE PRODU?O,BA,Alagoinhas,3
SISTEMAS PARA INTERNET,BA,Feira de Santana,3
BIOMEDICINA,BA,Barreiras,3
COMUNICA?O SOCIAL - FOTOGRAFIA,PE,Olinda,3
JORNALISMO,PE,Caruaru,3
DIREITO,BA,Concei?o do Coit?,2
ENGENHARIA QU?ICA,BA,Lauro de Freitas,2
DESIGN GR?FICO,SE,Aracaju,2
GEST? COMERCIAL,BA,Salvador,2
MODA,PB,Campina Grande,2
REDES DE COMPUTADORES,BA,Salvador,2
SISTEMAS DE INFORMA?O,AL,Macei?,2
GASTRONOMIA,CE,Fortaleza,2
DESIGN,CE,Fortaleza,2
TURISMO,MA,S? Lu?,2
MATEM?TICA,PE,Vit?ia de Santo Ant?,2
CI?CIAS CONT?BEIS,RN,Mossor?,2
ARQUITETURA E URBANISMO,BA,Alagoinhas,2
EDUCA?O F?ICA,BA,Santo Ant?io de Jesus,2
GEST? P?LICA,BA,Juazeiro,2
CI?CIAS CONT?BEIS,BA,Ribeira do Pombal,2
MECATR?ICA INDUSTRIAL,PE,Recife,2
PEDAGOGIA,RN,A?,2
SISTEMA DE INFORMA?O,CE,Fortaleza,2
REDES DE COMPUTADORES,BA,Feira de Santana,2
SA?E COLETIVA,PE,Caruaru,2
PEDAGOGIA,PE,Escada,2
PSICOLOGIA,CE,Tiangu?,2
FARM?CIA,BA,Ilh?s,2
REDES DE COMPUTADORES,SE,Aracaju,2
ADMINISTRA?O,CE,Limoeiro do Norte,2
EDUCA?O F?ICA,BA,Concei?o do Coit?,2
TEOLOGIA,BA,Salvador,2
SISTEMAS DE INFORMA?O,CE,Fortaleza,2
ARQUITETURA E URBANISMO,BA,Ilh?s,2
AN?LISE E DESENVOLVIMENTO DE SISTEMAS,MA,S? Lu?,2
MARKETING,PB,Cajazeiras,2
DESIGN DE INTERIORES,BA,Salvador,2
ECONOMIA,PE,Petrolina,2
EST?ICA E COSM?ICA,PB,Jo? Pessoa,2
ENGENHARIA AMBIENTAL E SANIT?RIA,PE,Recife,2
DIREITO,CE,Maracana?,2
AGRONEG?IO,MA,Balsas,2
PEDAGOGIA,CE,Sobral,2
CI?CIA DA COMPUTA?O,BA,Salvador,2
FISIOTERAPIA,CE,Tiangu?,2
EST?ICA E COSM?ICA,MA,S? Lu?,2
AN?LISE E DESENVOLVIMENTO DE SISTEMAS,BA,Salvador,2
COMUNICA?O SOCIAL,PB,Jo? Pessoa,2
M?ICA,BA,Salvador,2
COM?CIO EXTERIOR,PE,Petrolina,2
LETRAS - INGL?,PB,Campina Grande,2
CI?CIAS BIOL?ICAS,BA,Lauro de Freitas,2
TERAPIA OCUPACIONAL,CE,Fortaleza,2
FISIOTERAPIA,PI,Parna?a,2
EST?ICA E COSM?ICA,MA,Imperatriz,2
JORNALISMO,PB,Campina Grande,2
ENGENHARIA QU?ICA,PE,Caruaru,2
CI?CIAS CONT?BEIS,PI,Parna?a,2
ENGENHARIA DE PRODU?O,BA,Valen?,2
GEST? DA TECNOLOGIA DA INFORMA?O,PB,Jo? Pessoa,2
ADMINISTRA?O,PI,Parna?a,2
FISIOTERAPIA,BA,Juazeiro,2
COMUNICA?O SOCIAL - PUBLICIDADE E PROPAGANDA,PE,Caruaru,2
REDES DE COMPUTADORES,PB,Jo? Pessoa,2
PEDAGOGIA,PI,Picos,2
LETRAS,BA,Paulo Afonso,2
CI?CIAS CONT?BEIS,AL,Macei?,2
CI?CIAS AERON?UTICAS,PB,Campina Grande,2
SISTEMAS PARA INTERNET,SE,Aracaju,2
ENGENHARIA DE PRODU?O,BA,Guanambi,2
ADMINISTRA?O,CE,Tiangu?,2
RADIOLOGIA,PB,Campina Grande,2
FISIOTERAPIA,BA,Ribeira do Pombal,2
ADMINISTRA?O,MA,A?il?dia,2
ENFERMAGEM,BA,Coronel Jo? S?,2
GEST? DA TECNOLOGIA DA INFORMA?O,PE,Petrolina,2
BIOLOGIA,BA,Salvador,2
GEOGRAFIA,BA,Salvador,2
LETRAS,CE,Aracati,2
SISTEMA DE INFORMA?O,PE,Recife,2
JOGOS DIGITAIS,BA,Lauro de Freitas,2
ENGENHARIA CIVIL,BA,Ribeira do Pombal,2
EST?ICA E COSM?ICA,BA,Lauro de Freitas,2
ENGENHARIA EL?RICA,PE,Recife,2
AGRONEG?IO,MA,A?il?dia,2
GASTRONOMIA,PE,Recife,2
SERVI? SOCIAL,MA,Imperatriz,2
GEST? DA TECNOLOGIA DA INFORMA?O,BA,Salvador,2
ENFERMAGEM,RN,Pau dos Ferros,2
EST?ICA E COSM?ICA,PI,Teresina,2
GEST? DE RECURSOS HUMANOS,BA,Juazeiro,2
GASTRONOMIA,BA,Lauro de Freitas,2
PROCESSOS GERENCIAIS,CE,Fortaleza,2
SISTEMAS DE INFORMA?O,PE,Olinda,1
ENGENHARIA DE PRODU?O QU?ICA,BA,Salvador,1
PUBLICIDADE E PROPAGANDA,PE,Olinda,1
COMUNICA?O SOCIAL - CINEMA E V?EO,BA,Salvador,1
LETRAS - PORTUGU? E INGL?,PE,Caruaru,1
JOGOS DIGITAIS,SE,Aracaju,1
PEDAGOGIA,BA,Ribeira do Pombal,1
GASTRONOMIA,CE,Sobral,1
ARQUITETURA E URBANISMO,BA,Paripiranga,1
COMUNICA?O SOCIAL,BA,Salvador,1
DESIGN DE INTERIORES,PB,Jo? Pessoa,1
SISTEMA DE INFORMA?O,PI,Parna?a,1
ARTES VISUAIS,PE,Olinda,1
RADIOLOGIA,PB,Jo? Pessoa,1
PEDAGOGIA,BA,Monte Santo,1
EDUCA?O F?ICA,PE,Bel? do S? Francisco,1
CI?CIAS CONT?BEIS,MA,Imperatriz,1
CI?CIAS ECON?ICAS,BA,Salvador,1
DIREITO,MA,Pedreiras,1
AN?LISE E DESENVOLVIMENTO DE SISTEMAS,PB,Jo? Pessoa,1
MARKETING,CE,Juazeiro do Norte,1
FILOSOFIA,BA,Salvador,1
DIREITO,BA,Alagoinhas,1
ENGENHARIA DE CONTROLE E AUTOMA?O,BA,Teixeira de Freitas,1
COMUNICA?O SOCIAL - JORNALISMO,BA,Lauro de Freitas,1
LOG?TICA,PE,Timba?ba,1
ADMINISTRA?O,AL,Penedo,1
AN?LISE E DESENVOLVIMENTO DE SISTEMAS,AL,Macei?,1
EDUCA?O F?ICA,BA,Barreiras,1
CI?CIAS DA COMPUTA?O,PE,Recife,1
GEST? DA PRODU?O INDUSTRIAL,PE,Jaboat? dos Guararapes,1
DESIGN DE MODA,PB,Jo? Pessoa,1
ENFERMAGEM,BA,Candeias,1
ENGENHARIA EL?RICA,MA,Imperatriz,1
MATEM?TICA,SE,Aracaju,1
HIST?IA,PE,Jaboat? dos Guararapes,1
DESIGN DE MODA,PI,Teresina,1
ENGENHARIA AMBIENTAL E SANIT?RIA,PE,Caruaru,1
CI?CIAS CONT?BEIS,BA,Capim Grosso,1
ENGENHARIA AMBIENTAL E SANIT?RIA,BA,Guanambi,1
CI?CIAS CONT?BEIS,MA,S? Lu?,1
JORNALISMO,PE,Recife,1
ENGENHARIA DE PRODU?O,PE,Escada,1
PEDAGOGIA,CE,Maracana?,1
LETRAS,PE,Olinda,1
AN?LISE E DESENVOLVIMENTO DE SISTEMAS,PE,Jaboat? dos Guararapes,1
ENGENHARIA EL?RICA,PB,Jo? Pessoa,1
GEST? AMBIENTAL,CE,Fortaleza,1
SEGURAN? NO TRABALHO,CE,Juazeiro do Norte,1
LOG?TICA,MA,S? Lu?,1
PEDAGOGIA,MA,A?il?dia,1
PEDAGOGIA,BA,Capim Grosso,1
SISTEMAS DE INFORMA?O,CE,Tiangu?,1
MATEM?TICA,MA,S? Lu?,1
MATEM?TICA,PB,Campina Grande,1
CI?CIAS CONT?BEIS,BA,Valen?,1
GASTRONOMIA,RN,Natal,1
LOG?TICA,SE,Aracaju,1
CI?CIAS AERON?UTICAS,BA,Salvador,1
GEOGRAFIA,PB,Campina Grande,1
PRODU?O PUBLICIT?RIA,MA,Balsas,1
ENGENHARIA DE CONTROLE E AUTOMA?O,PE,Caruaru,1
FISIOTERAPIA,PE,Arcoverde,1
ENGENHARIA AGR?OLA E AMBIENTAL,CE,Tiangu?,1
REDES DE COMPUTADORES,PB,Campina Grande,1
ADMINISTRA?O P?LICA,BA,Salvador,1
GEST? COMERCIAL,BA,Lauro de Freitas,1
MARKETING,SE,Aracaju,1
DIREITO,CE,Limoeiro do Norte,1
PEDAGOGIA,AL,Penedo,1
SEGURAN? NO TRABALHO,PE,Recife,1
GEST? DE RECURSOS HUMANOS,MA,Pa? do Lumiar,1
ADMINISTRA?O P?LICA,PE,Caruaru,1
DESIGN DE INTERIORES,BA,Lauro de Freitas,1
ODONTOLOGIA,BA,Santo Ant?io de Jesus,1
PEDAGOGIA,BA,Lu? Eduardo Magalh?s,1
COMUNICA?O SOCIAL - JORNALISMO,PB,Campina Grande,1
SERVI? SOCIAL,PE,Jaboat? dos Guararapes,1
CI?CIAS BIOL?ICAS,AL,Macei?,1
DESIGN GR?FICO,PE,Recife,1
ADMINISTRA?O,BA,Barreiras,1
COMUNICA?O SOCIAL - PUBLICIDADE E PROPAGANDA,PI,Teresina,1
RADIOLOGIA,BA,Itamaraju,1
MARKETING,CE,Fortaleza,1
LETRAS COM PORTUGU? E ESPANHOL,PE,Escada,1
PSICOLOGIA,RN,Mossor?,1
LETRAS - INGL?,BA,Salvador,1
PSICOLOGIA,BA,Santo Ant?io de Jesus,1
SISTEMAS DE INFORMA?O,PE,Vit?ia de Santo Ant?,1
PEDAGOGIA,PE,Bel? do S? Francisco,1
ODONTOLOGIA,RN,Mossor?,1
SEGURAN? NO TRABALHO,BA,Salvador,1
DIREITO,BA,Cruz das Almas,1
PROCESSOS GERENCIAIS,PE,Recife,1
GEST? HOSPITALAR,MA,S? Lu?,1
RADIOLOGIA,BA,Salvador,1
SERVI? SOCIAL,AL,Penedo,1
FISIOTERAPIA,RN,Mossor?,1
EST?ICA E COSM?ICA,PI,Parna?a,1
RADIOLOGIA,PE,Recife,1
MEDICINA VETERIN?RIA,CE,Juazeiro do Norte,1
LETRAS,PE,Vit?ia de Santo Ant?,1
CI?CIAS ECON?ICAS,PE,Recife,1
GEST? FINANCEIRA,CE,Fortaleza,1
FISIOTERAPIA,BA,Teixeira de Freitas,1
GEST? DE RECURSOS HUMANOS,SE,Aracaju,1
MEDICINA VETERIN?RIA,MA,Imperatriz,1
ODONTOLOGIA,BA,Guanambi,1
ENGENHARIA DE CONTROLE E AUTOMA?O,BA,Lauro de Freitas,1
"COMUNICA?O SOCIAL - R?DIO, TV E INTERNET",PE,Olinda,1
SERVI? SOCIAL,BA,Itaberaba,1
EST?ICA E COSM?ICA,PB,Campina Grande,1
LOG?TICA,CE,Fortaleza,1
JORNALISMO,RN,Natal,1
EDUCA?O F?ICA,BA,Coronel Jo? S?,1
MARKETING,PE,Recife,1
GEST? DA TECNOLOGIA DA INFORMA?O,RN,Natal,1
SEGURAN? NO TRABALHO,PI,Teresina,1
ENGENHARIA AMBIENTAL,RN,Natal,1
CI?CIAS CONT?BEIS,BA,Lu? Eduardo Magalh?s,1
DIREITO,BA,Irec?,1
HIST?IA,RN,Natal,1
JORNALISMO,PI,Teresina,1
EDUCA?O F?ICA,MA,S? Lu?,1
FARM?CIA,BA,Itamaraju,1
FARM?CIA,PE,Arcoverde,1
CI?CIA DA COMPUTA?O,PE,Jaboat? dos Guararapes,1
DESIGN,PI,Teresina,1
ENGENHARIA MEC?ICA,PI,Teresina,1
ENGENHARIA MEC?ICA,PE,Caruaru,1
PUBLICIDADE E PROPAGANDA,PE,Jaboat? dos Guararapes,1
